cisp|unidade_territorial|municipio|regiao_de_governo
12|Copacabana (parte) e Leme|Rio de Janeiro|Metropolitana
13|Copacabana (parte)|Rio de Janeiro|Metropolitana
21|Benfica; Bonsucesso; Higienópolis; Manguinhos; Maré e Ramos|Rio de Janeiro|Metropolitana
11|Rocinha|Rio de Janeiro|Metropolitana
14|Ipanema e Leblon|Rio de Janeiro|Metropolitana
15|Gávea; Jardim Botânico; Lagoa; São Conrado e Vidigal|Rio de Janeiro|Metropolitana
29|Cavalcanti; Engenheiro Leal; Madureira; Turiaçu; Vaz Lobo; Oswaldo Cruz (parte); Cascadura e Quintino Bocaiúva|Rio de Janeiro|Metropolitana
30|Bento Ribeiro; Campinho; Marechal Hermes e Oswaldo Cruz (parte)|Rio de Janeiro|Metropolitana
40|Coelho Neto; Colégio (parte); Honório Gurgel e Rocha Miranda|Rio de Janeiro|Metropolitana
33|Campo dos Afonsos; Deodoro; Jardim Sulacap; Magalhães Bastos; Realengo e Vila Militar|Rio de Janeiro|Metropolitana
34|Bangu; Gericinó; Padre Miguel e Senador Camará|Rio de Janeiro|Metropolitana
28|Vila Valqueire; Praça Seca e Tanque (parte)|Rio de Janeiro|Metropolitana
32|Anil; Cidade de Deus; Curicica; Gardênia Azul; Jacarepaguá e Taquara|Rio de Janeiro|Metropolitana
41|Freguesia (Jacarepaguá); Pechincha e Tanque (parte)|Rio de Janeiro|Metropolitana
36|Paciência e Santa Cruz|Rio de Janeiro|Metropolitana
43|Guaratiba; Pedra de Guaratiba e Sepetiba|Rio de Janeiro|Metropolitana
16|Barra da Tijuca; Itanhangá; Joá|Rio de Janeiro|Metropolitana
42|Recreio dos Bandeirantes; Barra de Guaratiba; Camorim; Grumari; Vargem Grande e Vargem Pequena|Rio de Janeiro|Metropolitana
35|Campo Grande; Cosmos; Inhoaíba; Santíssimo e Senador Vasconcelos|Rio de Janeiro|Metropolitana
27|Colégio (parte); Irajá; Vicente de Carvalho; Vila Kosmos; Vila da Penha e Vista Alegre|Rio de Janeiro|Metropolitana
31|Anchieta; Guadalupe; Parque Anchieta e Ricardo de Albuquerque|Rio de Janeiro|Metropolitana
39|Acari; Barros Filho; Costa Barros; Parque Colúmbia e Pavuna|Rio de Janeiro|Metropolitana
59|Duque de Caxias (Centro)|Duque de Caxias|Metropolitana
60|Campos Elyseos|Duque de Caxias|Metropolitana
61|Xerém|Duque de Caxias|Metropolitana
62|Imbariê|Duque de Caxias|Metropolitana
52|Centro|Nova Iguaçu|Metropolitana
